DoctrineMigrations\Version20201227085138,2020-12-28 12:39:37,2072
DoctrineMigrations\Version20201228114022,2020-12-28 12:40:26,146
DoctrineMigrations\Version20201228115237,2020-12-28 12:52:41,108
DoctrineMigrations\Version20201228115634,2020-12-28 12:56:37,1947
DoctrineMigrations\Version20201228115940,2020-12-28 12:59:53,986
DoctrineMigrations\Version20201228120145,2020-12-28 13:02:09,145
DoctrineMigrations\Version20201228120840,2020-12-28 13:08:43,122
DoctrineMigrations\Version20201228121923,2020-12-28 13:19:26,139
DoctrineMigrations\Version20201229122716,2020-12-29 13:27:21,3372
DoctrineMigrations\Version20201229140920,2020-12-29 15:09:24,2369
DoctrineMigrations\Version20201229145601,2020-12-29 15:56:16,1920
